ahp,alcoa,amerb,arco,coke,comme,dow,dupont,espey,exxon,fisch,ford,ge,gm,gte,gulf,hp,ibm,inger,iroqu,jnj,kimbc,kinar,kodak,luken,meico,merck,mmm,mobil,morris,pandg,pills,schlum,sears,sherw,tex
1.01515,1.02765,1.04183,1.02083,1.00637,1.04938,1.00847,1.01983,1.05426,0.99751,1.04065,1.0,1.0,1.01026,1.0122,1.0574700000000001,1.01935,1.00429,1.01357,1.01515,0.9968299999999999,1.0534,0.9333299999999999,0.99461,1.02857,1.0,1.03148,1.03377,1.0101799999999999,1.01495,1.00775,1.00526,1.01176,1.00578,0.99697,0.9975200000000001
1.0149299999999999,1.04036,0.98905,0.9949,1.00475,0.95294,1.0084,1.00833,1.0441200000000002,1.005,0.99219,1.00157,1.02187,0.99746,0.98795,1.03261,1.0126600000000001,0.9957299999999999,1.0044600000000001,0.9850700000000001,1.00318,1.00461,1.0,1.01491,1.0246899999999999,0.98,1.00898,1.00251,1.0125899999999999,1.0,1.0019200000000001,1.0,1.01938,1.00958,0.9908799999999999,1.00248
1.0,0.97629,0.9778600000000001,0.99744,0.9858299999999999,0.98765,0.9972200000000001,0.99449,0.97183,1.0,1.0,0.98116,0.9786,0.98219,0.9939,0.9894700000000001,0.98125,0.9857100000000001,0.99556,1.18182,0.95873,0.98165,1.0,0.97864,0.96988,1.0,0.9804299999999999,0.9599,0.99751,0.9721799999999999,0.98656,0.98429,0.9733799999999999,1.0,1.0276100000000001,0.9975200000000001
1.02451,1.00662,1.02642,1.0025700000000002,1.0191700000000001,1.0,0.9944299999999999,1.0069299999999999,1.0,1.0,0.9606299999999999,1.0272,1.00795,0.98705,0.9877299999999999,1.01064,1.00637,1.01522,1.0,1.0256399999999999,1.01325,0.98131,1.0,1.02729,0.99379,1.0051,1.01089,1.03655,1.01247,0.9966299999999999,1.00778,1.01596,1.0,1.0019,1.00299,1.02233
1.031,0.98465,1.00368,1.0051299999999999,1.0031299999999999,1.05,1.02801,1.00413,1.05797,1.01741,1.0737700000000001,1.04361,1.00394,1.00525,1.01863,1.0263200000000001,1.03165,1.02427,1.01563,1.15,1.00654,1.02381,1.14286,0.9986700000000001,0.91875,1.09645,1.0107700000000002,0.9949600000000001,0.9950700000000001,0.98649,1.01158,0.9973799999999999,1.01563,1.01515,1.0119,1.00971
1.00465,1.01559,0.9890100000000001,1.0102,1.00625,0.96429,0.99455,0.9986299999999999,0.9863,1.0122200000000001,1.0,1.00896,1.00589,1.00522,1.0122,1.0256399999999999,1.03067,1.04355,0.9978,0.95652,0.9772700000000001,1.01395,0.9375,1.0079799999999999,1.0136100000000001,0.9814799999999999,0.99645,1.0126600000000001,1.00495,1.00514,1.01908,0.98688,1.0115399999999999,0.99067,0.9764700000000001,1.0024
1.00694,0.9978100000000001,1.0,1.00758,1.00932,1.0,1.00548,0.9986299999999999,1.06944,1.00242,1.03053,1.01775,1.01367,1.02078,1.01205,1.02,1.0357100000000001,1.01235,1.02203,1.0,1.0265799999999998,0.98165,0.9333299999999999,0.9841700000000001,1.02685,1.0,1.0,1.0025,0.99015,0.97785,1.00749,1.01596,1.02281,1.00377,1.01807,1.0
1.0023,0.9978,1.0,0.98246,0.9953799999999999,1.0,0.9972799999999999,0.98764,1.01299,1.0,1.01481,1.0,0.99229,1.0,0.9583299999999999,1.0196100000000001,0.9827600000000001,0.99274,0.99569,0.9772700000000001,1.01294,0.96262,1.0714299999999999,1.01609,1.00327,1.0,0.99465,0.99751,0.99254,0.99303,1.01115,1.00524,0.9516700000000001,1.0,0.9881700000000001,1.01199
0.97936,0.9845799999999999,0.9814799999999999,1.01531,1.00155,0.98765,1.02732,1.00626,1.0,1.00241,0.9781,0.9970899999999999,0.9980600000000001,1.01272,1.00621,1.03846,1.04094,1.01661,0.99784,0.9767399999999999,0.98083,1.00485,1.0,0.99736,0.9869700000000001,1.0,0.9964200000000001,1.025,1.00251,0.9894700000000001,0.99265,0.99479,0.9902299999999999,1.0,0.9970100000000001,0.98341
1.01405,0.96644,0.9320799999999999,0.96985,0.9938299999999999,1.025,0.97872,0.9924,0.96154,0.9855799999999999,0.9776100000000001,0.9621,0.9708200000000001,0.9799,0.97531,0.93519,0.94944,0.96765,0.9804799999999999,0.88095,1.0,0.98551,1.0,0.99603,0.9769,0.9905700000000001,0.98561,0.96341,0.99,0.9805,0.9963,0.98429,1.00394,1.0018799999999999,0.96096,0.99518
